Country or territory of asylum or residence,Year,Refugees<sup>*</sup>,Refugees assisted by UNHCR,Total refugees and people in refugee-like situations<sup>**</sup>,Total refugees and people in refugee-like situations assisted by UNHCR
Australia,2016,126,,126,
Austria,2016,27,,27,
Belgium,2016,40,,40,
Brazil,2016,4,,4,
Cambodia,2016,32,32,32,32
Canada,2016,41,,41,
China,2016,317098,1,317098,1
Côte d'Ivoire,2016,4,4,4,4
Cyprus,2016,1,,1,
Czechia,2016,70,,70,
Finland,2016,5,,5,
France,2016,8008,,8008,
Germany,2016,1311,,1311,
Greece,2016,7,,7,
"Hong Kong SAR, China",2016,2,,2,
Hungary,2016,1,,1,
Ireland,2016,7,,7,
Italy,2016,9,,9,
Japan,2016,2,1,2,1
Lithuania,2016,1,,1,
Malaysia,2016,,,1,1
Netherlands,2016,9,,9,
New Zealand,2016,8,,8,
Norway,2016,48,,48,
Paraguay,2016,6,,6,
Peru,2016,1,,1,
Philippines,2016,21,13,21,13
Poland,2016,15,,15,
Romania,2016,1,,1,
Slovakia,2016,1,,1,
Spain,2016,1,,1,
Sweden,2016,78,,78,
Switzerland,2016,1084,,1084,
Thailand,2016,264,264,264,264
United Kingdom,2016,738,,738,
United States,2016,264,,264,
Yemen,2016,15,15,15,15
Australia,2015,94,,94,
Austria,2015,32,,32,
Belgium,2015,42,,42,
Brazil,2015,4,,4,
Cambodia,2015,45,45,45,45
Canada,2015,114,,114,
China,2015,300896,1,300896,1
Côte d'Ivoire,2015,9,9,9,9
Cyprus,2015,1,,1,
Czechia,2015,70,,70,
Ecuador,2015,3,,3,
Finland,2015,3,,3,
France,2015,8132,,8132,
Germany,2015,1357,,1357,
Greece,2015,7,,7,
"Hong Kong SAR, China",2015,2,2,2,2
Hungary,2015,8,,8,
Ireland,2015,7,,7,
Italy,2015,8,,8,
Japan,2015,19,4,19,4
Lithuania,2015,1,,1,
Luxembourg,2015,1,,1,
Malaysia,2015,1,1,2,2
Netherlands,2015,15,,15,
New Zealand,2015,8,,8,
Norway,2015,14,,14,
Paraguay,2015,6,,6,
Peru,2015,1,,1,
Philippines,2015,8,,8,
Poland,2015,15,,15,
Romania,2015,1,,1,
Slovakia,2015,1,,1,
Spain,2015,3,,3,
Sweden,2015,76,,76,
Switzerland,2015,1130,,1130,
Thailand,2015,201,201,201,201
Ukraine,2015,5,,5,
United Kingdom,2015,533,,533,
United States,2015,266,,266,
Yemen,2015,15,15,15,15
Australia,2014,93,,93,
Austria,2014,36,,36,
Belgium,2014,16,,16,
Brazil,2014,4,,4,
Cambodia,2014,33,33,33,33
Canada,2014,126,,126,
China,2014,300896,1,300896,1
Côte d'Ivoire,2014,9,9,9,9
Cyprus,2014,1,,1,
Czechia,2014,68,,68,
Denmark,2014,5,,5,
Ecuador,2014,3,3,3,3
Finland,2014,3,,3,
France,2014,8281,,8281,
Germany,2014,1449,,1449,
Greece,2014,7,,7,
"Hong Kong SAR, China",2014,8,8,8,8
Ireland,2014,5,,5,
Italy,2014,8,,8,
Japan,2014,68,4,68,4
Lithuania,2014,1,,1,
Luxembourg,2014,1,,1,
Malaysia,2014,7,7,8,8
Netherlands,2014,24,,24,
New Zealand,2014,4,,4,
Norway,2014,14,,14,
Paraguay,2014,6,,6,
Peru,2014,1,,1,
Philippines,2014,4,,4,
Poland,2014,15,,15,
Slovakia,2014,1,,1,
Spain,2014,4,,4,
Sweden,2014,78,,78,
Switzerland,2014,1203,,1203,
Thailand,2014,99,99,99,99
Ukraine,2014,5,,5,
United Kingdom,2014,546,,546,
United States,2014,270,,270,
Yemen,2014,15,15,15,15
Australia,2013,90,,90,
Austria,2013,38,,38,
Belgium,2013,15,,15,
Brazil,2013,4,,4,
Burkina Faso,2013,5,,5,
Cambodia,2013,35,35,35,35
Canada,2013,132,,132,
China,2013,300896,1,300896,1
Côte d'Ivoire,2013,8,8,8,8
Cyprus,2013,1,,1,
Czechia,2013,67,,67,
Denmark,2013,6,,6,
Ecuador,2013,3,3,3,3
Finland,2013,3,,3,
France,2013,8528,,8528,
Gabon,2013,4,4,4,4
Germany,2013,1495,,1495,
Greece,2013,4,,4,
"Hong Kong SAR, China",2013,7,7,7,7
Hungary,2013,1,,1,
Ireland,2013,5,,5,
Italy,2013,9,,9,
Japan,2013,212,4,212,4
Lithuania,2013,1,,1,
Luxembourg,2013,1,,1,
Malaysia,2013,10,10,11,11
Netherlands,2013,28,,28,
New Zealand,2013,3,,3,
Norway,2013,16,,16,
Paraguay,2013,6,,6,
Peru,2013,1,,1,
Philippines,2013,4,,4,
Poland,2013,17,,17,
Slovakia,2013,1,,1,
Spain,2013,4,,4,
Sweden,2013,82,,82,
Switzerland,2013,1255,,1255,
Thailand,2013,119,119,119,119
Ukraine,2013,2,,2,
United Kingdom,2013,710,,710,
United States,2013,263,,263,
Yemen,2013,15,15,15,15
Australia,2012,88,,88,
Austria,2012,37,,37,
Belgium,2012,48,,48,
Brazil,2012,4,,4,
Burkina Faso,2012,5,,5,
Cambodia,2012,33,,33,
Canada,2012,148,,148,
China,2012,300897,1,300897,1
Côte d'Ivoire,2012,8,8,8,8
Cyprus,2012,1,,1,
Czechia,2012,65,,65,
Denmark,2012,16,,16,
Ecuador,2012,3,3,3,3
Finland,2012,2,,2,
France,2012,8605,,8605,
Gabon,2012,4,4,4,4
Germany,2012,23799,,23799,
Greece,2012,4,,4,
"Hong Kong SAR, China",2012,7,7,7,7
Hungary,2012,2,,2,
Ireland,2012,2,,2,
Italy,2012,9,,9,
Japan,2012,358,110,358,110
Lithuania,2012,1,,1,
Malaysia,2012,9,9,9,9
Netherlands,2012,28,,28,
New Zealand,2012,3,,3,
Norway,2012,14,,14,
Paraguay,2012,6,,6,
Peru,2012,1,,1,
Philippines,2012,4,,4,
Poland,2012,17,,17,
Slovakia,2012,1,,1,
Spain,2012,5,,5,
Sweden,2012,82,,82,
Switzerland,2012,1340,,1340,
Thailand,2012,92,92,92,92
Ukraine,2012,1,,1,
United Kingdom,2012,908,,908,
United States,2012,265,,265,
Yemen,2012,17,17,17,17
Australia,2011,58,,58,
Austria,2011,37,,37,
Belgium,2011,52,,52,
Benin,2011,3,3,3,3
Brazil,2011,4,,4,
Burkina Faso,2011,5,5,5,5
Cambodia,2011,31,31,31,31
Canada,2011,161,,161,
China,2011,300897,1,300897,1
Côte d'Ivoire,2011,8,8,8,8
Cyprus,2011,1,,1,
Czechia,2011,62,,62,
Denmark,2011,37,,37,
Ecuador,2011,3,3,3,3
Finland,2011,2,,2,
France,2011,8654,,8654,
Gabon,2011,4,4,4,4
Germany,2011,24261,,24261,
Greece,2011,4,,4,
"Hong Kong SAR, China",2011,7,7,7,7
Hungary,2011,2,,2,
Ireland,2011,2,,2,
Italy,2011,9,,9,
Japan,2011,493,,493,
Lithuania,2011,1,,1,
Malaysia,2011,5,5,5,5
Mexico,2011,1,,1,
Netherlands,2011,34,,34,
New Zealand,2011,7,,7,
Norway,2011,14,,14,
Papua New Guinea,2011,3,3,3,3
Paraguay,2011,6,,6,
Peru,2011,1,,1,
Philippines,2011,3,,3,
Poland,2011,17,,17,
Sierra Leone,2011,1,,1,
Slovakia,2011,1,,1,
Spain,2011,5,,5,
Sweden,2011,97,,97,
Switzerland,2011,1397,,1397,
Thailand,2011,81,81,81,81
United Kingdom,2011,1066,,1066,
United States,2011,270,,270,
Yemen,2011,22,22,22,22
Australia,2010,52,,52,
Austria,2010,42,,42,
Belgium,2010,59,,59,
Benin,2010,3,3,3,3
Brazil,2010,4,,4,
Burkina Faso,2010,5,5,5,5
Cambodia,2010,101,101,101,101
Canada,2010,163,,163,
China,2010,300897,1,300897,1
Côte d'Ivoire,2010,6,6,6,6
Cyprus,2010,1,,1,
Czechia,2010,62,,62,
Denmark,2010,55,,55,
Ecuador,2010,3,3,3,3
Finland,2010,2,,2,
France,2010,8719,,8719,
Gabon,2010,4,4,4,4
Germany,2010,24918,,24918,
Greece,2010,4,,4,
"Hong Kong SAR, China",2010,7,7,7,7
Hungary,2010,3,,3,
Ireland,2010,3,,3,
Italy,2010,9,,9,
Japan,2010,584,,584,
Lithuania,2010,1,,1,
Malaysia,2010,4,4,4,4
Mexico,2010,1,,1,
Netherlands,2010,44,,44,
New Zealand,2010,12,,12,
Norway,2010,16,,16,
Papua New Guinea,2010,3,,3,
Paraguay,2010,6,6,6,6
Peru,2010,1,,1,
Philippines,2010,3,,3,
Poland,2010,11,,11,
Russian Federation,2010,4,4,4,4
Sierra Leone,2010,1,,1,
Slovakia,2010,1,,1,
Spain,2010,6,,6,
Sweden,2010,103,,103,
Switzerland,2010,1484,,1484,
Thailand,2010,21,21,21,21
United Kingdom,2010,987,,987,
United States,2010,255,,255,
Yemen,2010,28,28,28,28
Australia,2009,52,,52,
Austria,2009,45,,45,
Belgium,2009,64,,64,
Benin,2009,3,3,3,3
Brazil,2009,4,,4,
Burkina Faso,2009,5,5,5,5
